prompt,notes,expected_genre_labels,predicted_genres,genre_accuracy,genre_recall,expected_intents,intent_hits,prompt_intent_accuracy,precision_at_5,top_k_genre_match,repeated_query_overlap,genre_diversity,artist_diversity,cluster_diversity,small_artist_compliance,top_result_artists,top_result_genres
regnig kväll,Broad rainy evening discovery prompt.,"['Indie', 'Electronic']",[],False,0.0,"['regn', 'kvall']","['regn', 'kvall']",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"['Navajita Platea', 'Rita Coolidge']","['spanish', 'r-n-b']"
mörk svensk indie,"Tests scene and language intent, not only mood.",['Indie'],['Indie'],True,1.0,"['mork', 'svensk', 'indie']","['mork', 'svensk', 'indie']",1.0,0.0,0.0,0.0,0.4,1.0,0.6,1.0,"['Tananai', 'MisterWives', 'Celso Piña', 'Los Abuelos De La Nada', 'Echosmith']","['indie-pop', 'indie-pop', 'alt-rock', 'alt-rock', 'indie-pop']"
nostalgisk sommarkväll,Abstract seasonal prompt with broad acceptable genres.,"['Pop', 'Indie']",[],False,0.0,"['nostalgisk', 'sommar', 'kvall']","['nostalgisk', 'sommar', 'kvall']",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"['Lennon Stella', 'New Edition']","['electro', 'r-n-b']"
sad underground rap,Prompt where genre should matter more than exact numeric mood.,['Hip-Hop'],['Hip-Hop'],True,1.0,"['sad', 'underground', 'rap']","['sad', 'underground', 'rap']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['Offset', 'Kid Cudi', 'Gunna', 'Moneybagg Yo', 'Fila Brazillia']","['hip-hop', 'hip-hop', 'hip-hop', 'hip-hop', 'trip-hop']"
rainy indie,Phrase already partially supported by the current prompt logic.,['Indie'],['Indie'],True,1.0,"['rainy', 'indie']","['rainy', 'indie']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['A R I Z O N A', 'easy life', 'Kiiara', 'Baby Tate', 'chloe moriondo']","['indie-pop', 'indie-pop', 'indie-pop', 'alternative', 'indie-pop']"
night drive,Phrase already partially supported by the current prompt logic.,"['Electronic', 'Rock']","['Electronic', 'Rock']",True,1.0,"['night', 'drive']","['night', 'drive']",1.0,0.8,0.6,0.0,0.6,1.0,0.6,1.0,"['Tube & Berger', 'Kungs', 'KC Lights', 'TOOMANYLEFTHANDS', 'Angelo Ferreri']","['electronic', 'house', 'deep-house', 'electronic', 'deep-house']"
calm morning music,Broad calm prompt where exact mood values are less important than intent.,"['Jazz', 'Classical', 'Indie']",[],False,0.0,"['calm', 'morning']","['calm', 'morning']",1.0,0.2,0.2,0.0,1.0,1.0,1.0,1.0,"[""Keb' Mo'""]",['acoustic']
festmusik,Simple party prompt for high-energy discovery.,"['Pop', 'Electronic']",[],False,0.0,['fest'],['fest'],1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"['Roland Clark', 'New Edition']","['garage', 'r-n-b']"
arg hiphop,Genre-led prompt with explicit affect.,['Hip-Hop'],['Hip-Hop'],True,1.0,"['arg', 'hiphop']","['arg', 'hiphop']",1.0,0.6,0.6,0.0,0.4,1.0,0.6,1.0,"['Machine Gun Kelly', 'Kid Cudi', 'Big Sean', 'Federico Aubele', 'Cibo Matto']","['hip-hop', 'hip-hop', 'hip-hop', 'trip-hop', 'trip-hop']"
svensk pop,Language and genre prompt.,['Pop'],['Pop'],True,1.0,"['svensk', 'pop']","['svensk', 'pop']",1.0,1.0,0.4,0.0,0.4,1.0,0.8,1.0,"['Lana Del Rey', 'Material Issue', 'Paul Collins', 'Ed Sheeran', 'Marshall Crenshaw']","['pop', 'power-pop', 'power-pop', 'pop', 'power-pop']"
lofi plugg,Study prompt where the dataset may lack direct lo-fi labels.,['Electronic'],[],False,0.0,"['lofi', 'plugg']","['lofi', 'plugg']",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"['Nate Dogg', 'Michelle Simonal']","['funk', 'jazz']"
jazz för sen kväll,Genre-first Swedish prompt with time-of-day intent.,['Jazz'],['Jazz'],True,1.0,"['jazz', 'kvall']","['jazz', 'kvall']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['Dinah Eastwood', 'Stella Starlight Trio', 'Michelle Simonal', 'The Staple Singers', 'Mary J. Blige']","['jazz', 'jazz', 'jazz', 'soul', 'soul']"
