prompt,notes,expected_genre_labels,predicted_genres,genre_accuracy,genre_recall,expected_intents,intent_hits,prompt_intent_accuracy,precision_at_5,top_k_genre_match,repeated_query_overlap,genre_diversity,artist_diversity,cluster_diversity,small_artist_compliance,top_result_artists,top_result_genres
regnig kväll,Broad rainy evening discovery prompt.,"['Indie', 'Electronic']","['Indie', 'Electronic']",True,1.0,"['regn', 'kvall']","['regn', 'kvall']",1.0,0.6,0.6,0.0,0.4,1.0,0.6,1.0,"['NGUZUNGUZU', 'David Sylvian', 'U137', 'Sebastian Plano', 'Blackhaine']","['club', 'ambient', 'ambient', 'ambient', 'club']"
mörk svensk indie,"Tests scene and language intent, not only mood.",['Indie'],"['Indie', 'Electronic']",True,1.0,"['mork', 'svensk', 'indie']","['mork', 'svensk', 'indie']",1.0,0.2,0.2,0.0,0.4,1.0,0.8,1.0,"['Praveen', 'U137', 'Eashwar Subramanian', 'Steve Reich', 'ARIETE']","['ambient', 'ambient', 'ambient', 'ambient', 'indie']"
nostalgisk sommarkväll,Abstract seasonal prompt with broad acceptable genres.,"['Pop', 'Indie']","['Pop', 'Indie']",True,1.0,"['nostalgisk', 'sommar', 'kvall']","['nostalgisk', 'sommar', 'kvall']",1.0,0.2,0.2,0.0,0.8,1.0,0.6,1.0,"['A R I Z O N A', 'Esteman', 'Material Issue', 'Foals', 'Julieta Venegas']","['indie-pop', 'alt-rock', 'power-pop', 'indie', 'alt-rock']"
sad underground rap,Prompt where genre should matter more than exact numeric mood.,['Hip-Hop'],['Hip-Hop'],True,1.0,"['sad', 'underground', 'rap']","['sad', 'underground', 'rap']",1.0,1.0,1.0,0.0,0.2,1.0,0.6,1.0,"['Fila Brazillia', 'Terranova', 'Yonderboi', 'Bitter:Sweet', 'Esthero']","['trip-hop', 'trip-hop', 'trip-hop', 'trip-hop', 'trip-hop']"
rainy indie,Phrase already partially supported by the current prompt logic.,['Indie'],"['Indie', 'Electronic']",True,1.0,"['rainy', 'indie']","['rainy', 'indie']",1.0,0.6,0.6,0.0,0.6,1.0,0.6,1.0,"['Mahalia', 'A R I Z O N A', 'U137', 'Sebastian Plano', 'Hayley Williams']","['alternative', 'indie-pop', 'ambient', 'ambient', 'indie-pop']"
night drive,Phrase already partially supported by the current prompt logic.,"['Electronic', 'Rock']","['Electronic', 'Rock']",True,1.0,"['night', 'drive']","['night', 'drive']",1.0,1.0,0.6,0.0,0.8,1.0,0.6,1.0,"['Tube & Berger', 'Kungs', 'KC Lights', 'Just Kiddin', 'Fleetwood Mac']","['electronic', 'house', 'deep-house', 'deep-house', 'rock']"
calm morning music,Broad calm prompt where exact mood values are less important than intent.,"['Jazz', 'Classical', 'Indie']",[],False,0.0,"['calm', 'morning']","['calm', 'morning']",1.0,0.8,0.6,0.0,0.8,1.0,0.8,1.0,"[""Keb' Mo'"", 'Praveen', 'Lori Mechem', 'Mindy Smith', 'Tori Amos']","['acoustic', 'ambient', 'new-age', 'acoustic', 'piano']"
festmusik,Simple party prompt for high-energy discovery.,"['Pop', 'Electronic']","['Pop', 'Electronic']",True,1.0,['fest'],['fest'],1.0,0.4,0.4,0.0,0.8,1.0,0.6,1.0,"['Big Dope P', 'Jess Glynne', 'Todd Terry', 'TOOMANYLEFTHANDS', 'Axero']","['club', 'house', 'deep-house', 'electronic', 'deep-house']"
arg hiphop,Genre-led prompt with explicit affect.,['Hip-Hop'],['Hip-Hop'],True,1.0,"['arg', 'hiphop']","['arg', 'hiphop']",1.0,0.0,0.0,0.0,0.2,1.0,0.8,1.0,"['Yonderboi', 'Terranova', 'Olive', ""Mo' Horizons"", 'Lemongrass']","['trip-hop', 'trip-hop', 'trip-hop', 'trip-hop', 'trip-hop']"
svensk pop,Language and genre prompt.,['Pop'],['Pop'],True,1.0,"['svensk', 'pop']","['svensk', 'pop']",1.0,1.0,0.4,0.0,0.4,1.0,0.8,1.0,"['Material Issue', 'Lana Del Rey', 'Paul Collins', 'Coldplay', 'Marshall Crenshaw']","['power-pop', 'pop', 'power-pop', 'pop', 'power-pop']"
lofi plugg,Study prompt where the dataset may lack direct lo-fi labels.,['Electronic'],[],False,0.0,"['lofi', 'plugg']","['lofi', 'plugg']",1.0,0.0,0.0,0.0,0.2,1.0,0.8,1.0,"['!nvite', 'Skinny Cap', 'Southern Structure', 'North Polo', 'Type.Raw']","['study', 'study', 'study', 'study', 'study']"
jazz för sen kväll,Genre-first Swedish prompt with time-of-day intent.,['Jazz'],['Jazz'],True,1.0,"['jazz', 'kvall']","['jazz', 'kvall']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['Musiq Soulchild', 'Allen Toussaint', 'Dr. John', 'Keith Sweat', 'Ravyn Lenae']","['soul', 'blues', 'blues', 'soul', 'soul']"
