prompt,notes,expected_genre_labels,predicted_genres,genre_accuracy,genre_recall,expected_intents,intent_hits,prompt_intent_accuracy,precision_at_5,top_k_genre_match,repeated_query_overlap,genre_diversity,artist_diversity,cluster_diversity,small_artist_compliance,top_result_artists,top_result_genres
indie,Pure genre prompt.,['Indie'],['Indie'],True,1.0,['indie'],['indie'],1.0,1.0,1.0,0.0,0.4,1.0,0.8,1.0,"['Sophie and the Giants', 'MisterWives', 'The Wombats', 'Hayley Kiyoko', 'Kiiara']","['indie', 'indie-pop', 'indie', 'indie-pop', 'indie-pop']"
punk,Pure genre prompt for a rock-adjacent subgenre.,['Rock'],['Rock'],True,1.0,['punk'],['punk'],1.0,1.0,1.0,0.0,0.2,1.0,0.8,1.0,"['Waterparks', 'O Surto', 'Tequila Baby', 'Casanovas schwule Seite', 'Catupecu Machu']","['punk-rock', 'punk-rock', 'punk-rock', 'punk-rock', 'punk-rock']"
hiphop,Pure genre prompt for hip-hop family retrieval.,['Hip-Hop'],['Hip-Hop'],True,1.0,['hiphop'],['hiphop'],1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['Kid Cudi', 'Terranova', 'DaBaby', 'Moneybagg Yo', 'Machine Gun Kelly']","['hip-hop', 'trip-hop', 'hip-hop', 'hip-hop', 'hip-hop']"
metal,Pure genre prompt for heavy music.,['Rock'],['Rock'],True,1.0,['metal'],['metal'],1.0,0.2,0.0,0.0,0.4,1.0,0.6,1.0,"['Fito Paez', 'Fleetwood Mac', 'The Goo Goo Dolls', 'Los Abuelos De La Nada', 'La Ley']","['alt-rock', 'rock', 'rock', 'alt-rock', 'alt-rock']"
ledsen,Pure mood prompt for sadness.,[],['Indie'],True,1.0,"['sad', 'melancholic']","['sad', 'melancholic']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['Mahalia', ""Lil' Kim"", 'The National', 'Teyana Taylor', 'Ed Maverick']","['alternative', 'alternative', 'indie', 'alternative', 'indie']"
gråta,Pure mood prompt for crying / heartbreak.,[],['Indie'],True,1.0,"['sad', 'heartbreak']","['sad', 'heartbreak']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['Mahalia', ""Lil' Kim"", 'The National', 'Teyana Taylor', 'Ed Maverick']","['alternative', 'alternative', 'indie', 'alternative', 'indie']"
sorglig,Pure mood prompt for sadness.,[],['Indie'],True,1.0,"['sad', 'melancholic']","['sad', 'melancholic']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['Mahalia', ""Lil' Kim"", 'The National', 'Teyana Taylor', 'Ed Maverick']","['alternative', 'alternative', 'indie', 'alternative', 'indie']"
deppig,Pure mood prompt for low-energy melancholy.,[],['Indie'],True,1.0,"['sad', 'melancholic']","['sad', 'melancholic']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['Mahalia', ""Lil' Kim"", 'The National', 'Teyana Taylor', 'Ed Maverick']","['alternative', 'alternative', 'indie', 'alternative', 'indie']"
glad,Pure mood prompt for uplifting music.,[],"['Pop', 'Indie']",True,1.0,"['happy', 'uplifting']","['happy', 'uplifting']",1.0,1.0,1.0,0.0,0.4,1.0,0.8,1.0,"['A R I Z O N A', 'Material Issue', 'Paul Collins', 'Tommy Keene', 'Maisie Peters']","['indie-pop', 'power-pop', 'power-pop', 'power-pop', 'indie-pop']"
arg,Pure mood prompt for intense or aggressive music.,[],"['Hip-Hop', 'Rock']",True,1.0,"['angry', 'intense']","['angry', 'intense']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['Machine Gun Kelly', 'O Surto', 'Casanovas schwule Seite', 'Anberlin', 'Big Sean']","['hip-hop', 'punk-rock', 'punk-rock', 'punk-rock', 'hip-hop']"
